person_id,birthdate,school,country,height,weight,season_exp,position,rosterstatus,from_year,to_year
203006,1986-02-10 0:00,California State-Fullerton,USA,5-11,185,2,Guard,Inactive,2012,2012
1629152,1993-06-05 0:00,Illinois State,Trinidad and Tobago,6-6,200,2,Guard-Forward,Inactive,2018,2018
202374,1988-03-21 0:00,Florida State,Nigeria,7-1,252,3,Center,Inactive,2010,2011
76019,1963-12-11 0:00,Duke,USA,6-8,217,5,Forward,Inactive,1986,1990
76020,1936-10-08 0:00,Fresno State,USA,6-9,225,2,Center,Inactive,1959,1960
1630583,2001-01-10 0:00,Loyola-Maryland,Spain,7-0,215,2,Forward-Center,Active,2021,2023
203128,1991-08-09 0:00,Galatasaray,Turkey,6-10,240,2,Forward-Center,Inactive,2014,2014
202332,1988-10-31 0:00,Kansas,USA,6-11,253,9,Center,Inactive,2010,2017
200746,1985-07-19 0:00,University of Texas at Austin,USA,6-11,250,17,Center-Forward,Inactive,2006,2021
1626146,1995-11-16 0:00,Kansas,USA,6-8,240,2,Forward,Inactive,2015,2015
724,1973-06-22 0:00,Virginia,USA,6-1,190,8,Guard,Inactive,1995,2004
201570,1986-12-26 0:00,West Virginia,USA,6-8,230,3,Forward,Inactive,2008,2009
1629734,1996-10-21 0:00,Tennessee,Canada,6-10,216,2,Forward-Center,Inactive,2019,2019
1630234,1998-07-16 0:00,Creighton,USA,6-3,195,2,Guard,Inactive,2020,2020
2349,1969-08-31 0:00,Iowa State,USA,6-10,265,5,Forward,Inactive,1991,2001
1629638,1998-09-02 0:00,Virginia Tech,Canada,6-5,205,4,Guard,Active,2019,2023
76024,1964-11-23 0:00,Indiana,USA,6-2,183,4,Guard,Inactive,1987,1990
1628959,1997-10-29 0:00,Arizona,USA,6-5,225,2,Guard,Inactive,2018,2018
76028,1946-07-17 0:00,Marshall,USA,6-9,205,1,Forward,Inactive,1968,1968
1628960,1995-10-08 0:00,Duke,USA,6-4,198,5,Guard,Active,2018,2023
1628386,1998-04-21 0:00,Texas,USA,6-9,243,6,Center,Active,2017,2023
1628443,1993-01-15 0:00,Arizona,USA,6-1,200,3,Guard,Inactive,2017,2019
202730,1989-02-04 0:00,Temple,USA,6-9,260,7,Forward-Center,Inactive,2011,2016
76027,1947-09-26 0:00,UCLA,USA,6-2,175,10,Guard,Inactive,1969,1978
2124,1978-06-27 0:00,Villanova,USA,6-10,255,11,Forward,Inactive,2001,2010
2754,1982-01-11 0:00,Oklahoma State,USA,6-4,213,14,Guard-Forward,Inactive,2004,2017
76029,1949-10-02 0:00,UNLV,USA,6-6,195,1,Forward,Inactive,1971,1971
200984,1981-02-02 0:00,Weber State,USA,6-11,250,2,Center,Inactive,2007,2007
76030,1958-09-12 0:00,UCLA,USA,6-8,220,1,Forward,Inactive,1980,1980
201165,1985-02-02 0:00,Rice,USA,6-6,225,4,Guard,Inactive,2007,2011
308,1972-08-20 0:00,Duquesne,USA,6-11,225,3,Center,Inactive,1994,1996
1747,1976-07-24 0:00,Fresno State,USA,6-2,175,11,Guard,Inactive,1999,2009
1824,1973-04-26 0:00,Liberty,USA,6-10,260,1,Center,Inactive,1998,1998
1630631,1998-04-12 0:00,Georgia Tech,USA,6-0,179,2,Guard,Active,2021,2023
680,1970-11-26 0:00,Penn State,United Kingdom,6-10,270,6,Forward-Center,Inactive,1995,2002
200811,1982-12-07 0:00,UNLV,USA,6-9,220,11,Forward,Inactive,2006,2015
2365,1978-07-07 0:00,Blinn J.C.,USA,6-10,245,15,Forward-Center,Inactive,2001,2016
2431,1980-06-23 0:00,FC Barcelona,Australia,NULL,NULL,20,NULL,Inactive,2009,2017
101187,1982-10-16 0:00,Michigan State,USA,6-6,220,9,Forward-Guard,Inactive,2005,2016
202079,1985-06-05 0:00,Memphis,USA,6-6,215,2,Guard,Inactive,2009,2009
76036,1951-01-01 0:00,Southern California,USA,6-2,185,2,Guard,Inactive,1974,1975
1507,1974-07-18 0:00,Kentucky,USA,6-5,195,12,Guard,Inactive,1997,2007
76037,1960-12-28 0:00,Southern California,USA,6-3,185,1,Guard,Inactive,1982,1982
944,1970-05-26 0:00,Indiana,USA,6-9,220,2,Forward,Inactive,1992,1993
246,1964-06-22 0:00,Houston,USA,6-10,250,10,Center-Forward,Inactive,1987,1997
202341,1989-03-25 0:00,Oklahoma State,USA,6-6,213,6,Guard-Forward,Inactive,2010,2015
76040,1953-10-09 0:00,West Virginia,USA,6-5,195,2,Guard,Inactive,1975,1976
1626147,1993-11-19 0:00,Virginia,USA,6-5,231,7,Forward-Guard,Inactive,2015,2021
72,1970-10-09 0:00,Georgia Tech,USA,6-1,168,14,Guard,Inactive,1991,2004
76041,1955-05-12 0:00,Missouri,USA,6-7,200,1,Forward,Inactive,1978,1978
203937,1993-09-20 0:00,UCLA,USA,6-9,230,9,Forward-Guard,Active,2014,2023
76042,1966-03-23 0:00,Drexel,USA,5-11,184,1,Guard,Inactive,1988,1988
76043,1960-09-23 0:00,Bradley,USA,6-8,195,3,Forward,Inactive,1982,1984
98,1968-01-20 0:00,Illinois,USA,6-6,228,14,Forward-Guard,Inactive,1989,2002
76045,1960-11-19 0:00,California-Santa Barbara,USA,6-10,240,6,Forward,Inactive,1982,1989
76046,1958-10-15 0:00,Fresno State,USA,6-7,215,10,Forward,Inactive,1984,1993
201583,1988-05-06 0:00,California,USA,6-9,240,12,Forward,Inactive,2008,2019
1000,1973-12-31 0:00,Georgia,USA,6-6,215,10,Guard-Forward,Inactive,1996,2005
335,1967-01-08 0:00,Georgia,USA,6-8,200,8,Guard-Forward,Inactive,1988,1996
101149,1986-03-12 0:00,Zalgiris,Lithuania,7-2,240,2,Center,Inactive,2005,2006
76049,1930-11-01 0:00,Missouri State,USA,6-7,190,1,Forward,Inactive,1954,1954
1628387,1998-10-16 0:00,UCLA,USA,6-10,250,3,Center,Inactive,2017,2018
76050,1967-02-08 0:00,Alabama,USA,6-7,225,3,Forward,Inactive,1989,1991
1512,1975-01-01 0:00,South East Melbourne,Australia,7-0,249,2,Center,Inactive,1997,1999
203507,1994-12-06 0:00,Filathlitikos,Greece,7-0,243,10,Forward,Active,2013,2023
1628961,1997-11-20 0:00,University of Dayton,Greece,6-10,200,4,Forward,Inactive,2018,2020
203648,1992-07-18 0:00,Panathinaikos,Greece,6-7,219,5,Forward,Active,2015,2023
2546,1984-05-29 0:00,Syracuse,USA,6-7,238,20,Forward,Inactive,2003,2021
1630175,2000-05-15 0:00,North Carolina,USA,6-3,185,3,Guard,Active,2020,2023
21,1967-11-15 0:00,UNLV,USA,6-1,180,11,Guard,Inactive,1991,2001
201202,1982-08-09 0:00,UNLV,Canada,6-9,245,11,Center,Inactive,2007,2016
203544,1982-07-29 0:00,Olympiacos,Macedonia,6-11,260,2,Forward-Center,Inactive,2013,2014
1628384,1997-07-17 0:00,Indiana,United Kingdom,6-7,232,6,Forward,Active,2017,2023
2737,1980-08-12 0:00,Brigham Young,Brazil,6-11,270,4,Center,Inactive,2004,2006
76053,1936-02-17 0:00,Iowa State,USA,6-4,210,1,Forward,Inactive,1961,1961
76054,1948-09-02 0:00,Texas-El Paso,USA,6-1,150,13,Guard,Inactive,1970,1983
2425,1980-03-29 0:00,Illinois,Scotland,6-11,250,3,Forward,Inactive,2002,2003
1627853,1994-03-26 0:00,Villanova,USA,6-3,195,6,Guard,Inactive,2017,2022
76055,1948-09-19 0:00,Cincinnati,USA,6-9,215,4,Center,Inactive,1974,1977
2240,1982-01-06 0:00,Arizona,USA,6-4,215,12,Guard,Inactive,2001,2011
2772,1985-06-30 0:00,UCLA,USA,6-8,215,18,Forward,Inactive,2004,2021
76056,1928-04-09 0:00,Villanova,USA,6-4,190,10,Forward,Inactive,1950,1961
76057,1965-07-20 0:00,Niagara,USA,6-9,230,1,Forward,Inactive,1987,1987
769,1967-09-09 0:00,Iowa,USA,6-2,185,11,Guard,Inactive,1989,1999
2220,1980-06-16 0:00,Pepperdine,USA,6-5,185,4,Guard,Inactive,2001,2003
353,1968-06-22 0:00,Fayetteville State,USA,6-1,180,15,Guard,Inactive,1994,2007
200756,1984-11-23 0:00,Connecticut,USA,6-11,235,6,Forward-Center,Inactive,2006,2013
76059,1955-10-05 0:00,Duke,USA,6-3,175,2,Guard,Inactive,1977,1978
76062,1933-12-30 0:00,Penn State,USA,6-5,220,1,Forward,Inactive,1955,1955
76064,1947-11-03 0:00,Notre Dame,USA,6-5,205,1,Forward,Inactive,1970,1970
2306,1979-07-30 0:00,Florida International,Puerto Rico,6-2,200,10,Guard,Inactive,2001,2010
201589,1988-03-25 0:00,Kansas,USA,6-9,235,10,Forward,Inactive,2008,2017
76065,1947-08-15 0:00,Tulane,USA,6-4,185,1,Guard,Inactive,1969,1969
1628503,1993-01-12 0:00,Pittsburgh,USA,6-7,213,2,Guard,Inactive,2017,2017
201600,1986-07-04 0:00,Fenerbahce,Turkey,7-0,255,9,Center,Inactive,2010,2017
355,1966-02-28 0:00,Memphis,USA,6-6,210,9,Guard,Inactive,1987,1997
76068,1928-02-15 0:00,Alliance,USA,6-2,185,1,Guard,Inactive,1953,1953
76069,1931-09-21 0:00,Indiana State,USA,6-2,190,2,Guard,Inactive,1955,1957
1088,1974-08-14 0:00,South Florida,USA,5-11,185,12,Guard,Inactive,1999,2009
76071,1916-05-08 0:00,Michigan State,USA,5-10,137,1,Guard,Inactive,1946,1946
278,1968-08-01 0:00,UNLV,USA,6-8,213,16,Forward-Guard,Inactive,1991,2005
201571,1987-11-10 0:00,Texas-Austin,USA,5-11,183,14,Guard,Active,2008,2023
200788,1984-02-27 0:00,Illinois,USA,6-10,235,2,Forward,Inactive,2006,2007
1134,1969-08-18 0:00,Arizona State,USA,6-10,288,9,Center,Inactive,1991,2001
76073,1944-08-31 0:00,Boston College,USA,6-0,170,1,Guard,Inactive,1966,1966
138,1969-10-18 0:00,Seton Hall,USA,6-9,240,6,Center,Inactive,1992,1999
76076,1952-07-22 0:00,Pepperdine,USA,6-2,170,2,Guard,Inactive,1976,1977
1895,1979-08-08 0:00,Duke,USA,6-2,180,4,Guard,Inactive,1999,2002
76078,1948-02-22 0:00,Santa Clara,USA,6-10,235,12,Center,Inactive,1970,1981
1630555,2000-03-05 0:00,Gonzaga,France,6-4,180,2,Guard,Inactive,2021,2021
202970,1985-04-01 0:00,Baloncesto Fuenlabrada,Mexico,NULL,NULL,3,NULL,Inactive,2011,2016
201965,1987-04-29 0:00,Arizona State,USA,6-9,250,7,Forward-Center,Inactive,2009,2015
1629028,1998-07-23 0:00,Arizona,Bahamas,7-0,250,5,Center,Active,2018,2023
101235,1983-12-16 0:00,Kentucky,United Kingdom,6-5,215,5,Guard,Inactive,2006,2011
1628962,1999-09-17 0:00,Kansas,Nigeria,6-11,270,3,Center-Forward,Active,2020,2023
203569,1990-02-14 0:00,Iowa State,USA,6-5,225,3,Guard,Inactive,2013,2014
202337,1989-06-20 0:00,Nevada-Reno,USA,6-9,225,9,Forward,Inactive,2010,2017
76079,1968-11-23 0:00,Tennessee Tech,USA,7-0,240,2,Center,Inactive,1990,1991
76080,1924-07-10 0:00,Fordham,USA,6-2,180,1,Forward,Inactive,1948,1948
1628407,1995-08-30 0:00,Florida State,USA,6-6,221,5,Guard-Forward,Inactive,2017,2020
76081,1927-12-09 0:00,Eastern Kentucky,USA,6-4,205,5,Forward,Inactive,1952,1956
2053,1980-07-02 0:00,Benston Zagreb,Croatia,7-1,290,4,Center,Inactive,2000,2002
76082,1960-04-23 0:00,Boston College,USA,6-0,185,11,Guard,Inactive,1982,1993
1628963,1999-03-14 0:00,Duke,USA,6-10,235,5,Forward,Active,2018,2023
76084,1958-04-23 0:00,Tuskegee,USA,7-0,210,1,Center,Inactive,1981,1981
76083,1951-02-18 0:00,Texas-El Paso,USA,6-5,185,5,Guard,Inactive,1974,1979
76085,1957-05-21 0:00,Rutgers,USA,6-9,220,9,Forward,Inactive,1979,1987
1847,1961-04-07 0:00,North Carolina State,USA,6-11,247,12,Forward,Inactive,1983,1998
1753,1975-11-19 0:00,UCLA,USA,6-6,213,3,Guard,Inactive,1998,2002
1858,1969-11-11 0:00,Ohio State,USA,6-1,175,1,Guard,Inactive,1998,1998
2486,1979-07-28 0:00,Oklahoma State,USA,6-2,200,2,Guard,Inactive,2002,2004
76089,1923-02-17 0:00,Victoria,Canada,6-0,180,1,Guard,Inactive,1946,1946
1627758,1993-03-30 0:00,Wichita State,USA,6-4,220,3,Guard,Inactive,2016,2018
452,1971-11-23 0:00,Hartford,USA,6-11,240,13,Forward,Inactive,1993,2005
1627735,1996-03-29 0:00,Vanderbilt,USA,6-4,200,3,Guard,Inactive,2016,2018
1631116,2002-11-18 0:00,Wisconsin-Milwaukee,USA,6-9,220,1,Forward,Active,2022,2023
200764,1984-07-14 0:00,South Carolina,USA,6-8,225,7,Forward,Inactive,2006,2011
76090,1968-04-16 0:00,North Carolina-Charlotte,USA,6-8,210,1,Forward,Inactive,1990,1990
1630163,2001-08-22 0:00,Illawarra,USA,6-7,180,3,Guard,Active,2020,2023
1629071,1998-11-24 0:00,NULL,USA,NULL,NULL,0,NULL,Inactive,NULL,NULL
1628366,1997-10-27 0:00,UCLA,USA,6-6,190,5,Guard,Active,2017,2023
76091,1955-01-29 0:00,Oregon,USA,6-7,215,11,Forward,Inactive,1977,1988
76092,1921-06-21 0:00,Penn State,USA,6-4,195,1,Forward,Inactive,1946,1946
1631094,2002-11-12 0:00,Duke,USA,6-10,250,1,Forward,Active,2022,2023
1630217,1998-06-25 0:00,TCU,USA,6-5,215,3,Guard,Active,2020,2023
76093,1959-05-15 0:00,Duke,USA,6-7,215,6,Forward,Inactive,1981,1986
2556,1981-11-19 0:00,UNLV,USA,6-2,205,9,Guard,Inactive,2003,2010
76094,1960-04-01 0:00,St. Augustine's,USA,6-9,235,5,Forward,Inactive,1984,1990
76095,1951-12-03 0:00,St. Joseph's (PA),USA,6-9,200,9,Forward,Inactive,1973,1981
1630625,1999-11-07 0:00,Nebraska,Canada,6-7,204,2,Forward,Active,2021,2023
1627760,1994-07-25 0:00,North Carolina State,USA,6-1,173,1,Guard,Inactive,2021,2021
76096,1927-06-27 0:00,California State-Los Angeles,USA,6-6,210,1,Forward,Inactive,1956,1956
76097,1968-04-05 0:00,Illinois,USA,6-5,190,3,Guard,Inactive,1991,1995
200826,1984-06-26 0:00,Northeastern,Puerto Rico,5-10,180,15,Guard,Inactive,2006,2019
76098,1921-01-15 0:00,Kentucky,USA,6-2,185,3,Guard,Inactive,1949,1951
76099,1955-03-11 0:00,Hawaii,USA,6-11,225,2,Center,Inactive,1976,1978
787,1963-02-20 0:00,Auburn,USA,6-6,252,16,Forward,Inactive,1984,1999
2057,1978-02-21 0:00,St. John's (NY),USA,6-1,185,3,Guard,Inactive,2000,2002
76102,1923-03-31 0:00,UCLA,USA,6-6,200,4,Forward,Inactive,1951,1954
1631230,2003-05-26 0:00,Overtime Elite,USA,6-9,215,1,Forward,Active,2022,2023
203084,1992-05-30 0:00,North Carolina,USA,6-8,225,11,Forward,Active,2012,2023
76105,1941-04-13 0:00,Texas-El Paso,USA,6-8,210,7,Center,Inactive,1964,1970
76104,1952-07-27 0:00,Providence,USA,6-9,210,4,Forward,Inactive,1976,1979
2440,1980-03-09 0:00,UCLA,USA,6-7,226,15,Forward,Inactive,2002,2016
1630567,2001-08-01 0:00,Florida State,USA,6-8,225,2,Forward,Active,2021,2023
76106,1944-07-07 0:00,Oregon,USA,6-4,170,11,Guard,Inactive,1966,1976
76108,1938-03-20 0:00,Tennessee State,USA,6-1,180,7,Guard,Inactive,1962,1968
76109,1953-07-15 0:00,Washington State,USA,6-4,205,1,Guard,Inactive,1976,1976
76110,1924-05-11 0:00,Notre Dame,USA,6-4,190,5,Forward,Inactive,1949,1953
76111,1918-08-18 0:00,Penn State,USA,6-3,205,1,Forward,Inactive,1946,1946
76112,1950-10-19 0:00,Duquesne,USA,6-3,180,1,Guard,Inactive,1976,1976
76114,1929-08-27 0:00,Kansas State,USA,NULL,NULL,2,NULL,Inactive,1953,2008
1629628,2000-06-14 0:00,Duke,Canada,6-6,214,4,Forward-Guard,Active,2019,2023
2853,1981-08-14 0:00,Memphis,USA,7-0,250,9,Forward-Center,Inactive,2005,2014
344,1967-04-13 0:00,Boston College,USA,5-11,165,15,Guard,Inactive,1989,2003
699,1971-12-31 0:00,Oregon State,USA,6-7,210,15,Guard,Inactive,1995,2008
1003,1973-02-17 0:00,Georgia Tech,USA,6-5,191,3,Guard,Inactive,1997,1999
468,1969-07-25 0:00,Georgia Tech,USA,6-5,210,14,Guard,Inactive,1992,2005
600013,1944-03-28 0:00,Miami,USA,6-7,205,10,Forward,Inactive,1965,1979
76117,1925-10-08 0:00,North Carolina State,USA,6-6,195,2,Forward,Inactive,1949,1950
76118,1948-09-29 0:00,Oregon State,USA,7-0,230,1,Center,Inactive,1971,1971
203115,1991-01-06 0:00,Memphis,USA,6-5,181,11,Guard,Active,2012,2023
101188,1983-02-15 0:00,North Carolina-Charlotte,USA,6-5,215,2,Guard,Inactive,2005,2005
101138,1985-04-30 0:00,Louisiana State,USA,6-8,250,13,Forward,Inactive,2005,2016
1628238,1995-08-29 0:00,Detroit Mercy,USA,6-8,200,2,Forward,Inactive,2021,2021
76120,1951-04-01 0:00,Georgia,USA,6-8,225,4,Forward,Inactive,1976,1979
1629646,2000-10-28 0:00,Western Kentucky,Nigeria,6-9,230,2,Center-Forward,Active,2021,2023
1766,1976-05-29 0:00,Michigan,USA,6-10,230,5,Forward,Inactive,2002,2008
2370,1975-11-20 0:00,Beijing,China,6-11,290,4,Center,Inactive,2001,2003
76121,1956-05-31 0:00,Kentucky State,USA,6-4,210,4,Guard,Inactive,1979,1982
1499,1976-02-11 0:00,Texas Tech,USA,6-11,240,15,Center,Inactive,1997,2011
2203,1978-09-09 0:00,Duke,USA,6-8,220,13,Forward,Inactive,2001,2013
76124,1956-03-26 0:00,Notre Dame,USA,6-10,240,2,Center,Inactive,1982,1983
201587,1988-12-14 0:00,Le Mans,France,6-8,230,15,Guard-Forward,Active,2008,2023
76125,1946-06-17 0:00,Temple,USA,6-5,200,2,Forward,Inactive,1969,1970
76126,1918-10-07 0:00,Ohio,USA,5-10,170,1,Guard,Inactive,1946,1946
2437,1979-01-27 0:00,Maryland,USA,6-8,260,4,Forward,Inactive,2002,2005
76127,1934-09-16 0:00,Seattle,USA,6-5,225,14,Forward,Inactive,1958,1971
203382,1986-12-09 0:00,Washington State,Australia,6-10,260,10,Center-Forward,Inactive,2012,2020
76128,1965-03-15 0:00,Tofas S.K.,Russia,6-2,168,1,Guard,Inactive,1994,1994
203145,1989-07-01 0:00,Old Dominion,USA,6-4,195,11,Guard-Forward,Inactive,2012,2021
1629647,2000-06-12 0:00,Princeton HS (OH),USA,6-9,216,4,Forward,Active,2019,2023
76129,1929-01-25 0:00,West Virginia,USA,6-3,200,1,Forward,Inactive,1950,1950
203078,1993-06-28 0:00,Florida,USA,6-4,207,11,Guard,Active,2012,2023
76130,1947-05-04 0:00,Louisville,USA,6-3,185,9,Guard,Inactive,1969,1978
76131,1927-12-02 0:00,Kentucky,USA,5-10,175,2,Guard,Inactive,1949,1950
2602,1980-05-17 0:00,North Dakota,USA,6-9,237,2,Forward,Inactive,2003,2003
1627736,1996-11-26 0:00,Florida State,USA,6-4,187,7,Guard,Active,2016,2023
76133,1939-10-25 0:00,Prairie View A&M,USA,6-9,225,8,Center,Inactive,1962,1974
201958,1988-02-24 0:00,Cholet,France,6-2,185,5,Guard,Inactive,2009,2012
1630699,2000-10-12 0:00,NBA G League Ignite,USA,6-7,199,1,Forward,Active,2021,2023
76134,1945-01-25 0:00,Denver,USA,6-9,225,1,Center,Inactive,1976,1976
1133,1971-05-27 0:00,Arkansas,USA,6-3,200,3,Guard,Inactive,1995,1998
76136,1931-12-11 0:00,Pennsylvania,USA,6-4,190,7,Guard,Inactive,1953,1960
76137,1917-02-24 0:00,Duquesne,USA,6-1,185,1,Guard,Inactive,1946,1946
76140,1951-01-14 0:00,Minnesota,USA,6-9,185,7,Forward,Inactive,1973,1979
76141,1929-02-03 0:00,Bradley,USA,6-7,210,1,Center,Inactive,1951,1951
76142,1951-06-02 0:00,Drake,USA,6-5,185,3,Forward,Inactive,1973,1975
1628395,1995-01-07 0:00,Oregon,USA,6-7,216,5,Forward,Inactive,2017,2021
1952,1976-09-19 0:00,Florida International,US Virgin Islands,6-5,210,13,Guard,Inactive,2000,2011
2559,1980-11-10 0:00,Boston College,USA,6-1,180,2,Guard,Inactive,2003,2003
76143,1932-09-13 0:00,North Carolina State,USA,6-0,180,2,Guard,Inactive,1959,1960
76144,1939-07-24 0:00,Indiana,USA,6-10,225,14,Center,Inactive,1961,1974
1627761,1994-07-04 0:00,St. Joseph's (PA),USA,6-5,210,6,Guard-Forward,Inactive,2016,2021
76145,1930-11-18 0:00,Illinois,USA,6-3,185,2,Forward,Inactive,1953,1956
76146,1950-07-23 0:00,Jacksonville,USA,6-4,185,2,Guard,Inactive,1974,1975
1627733,1997-11-17 0:00,Maccabi Tel Aviv,Croatia,7-0,249,4,Forward,Inactive,2016,2019
1886,1981-01-30 0:00,Picayune HS (MS),USA,7-0,230,9,Forward,Inactive,1999,2009
203968,1991-08-01 0:00,Towson,USA,NULL,NULL,1,NULL,Inactive,2014,2014
104,1964-11-22 0:00,Creighton,USA,7-0,250,15,Center,Inactive,1985,1999
1736,1978-02-24 0:00,Oregon State,USA,6-6,200,5,Guard,Inactive,1998,2002
203461,1993-03-14 0:00,UNLV,Canada,6-8,235,5,Forward,Inactive,2013,2016
1120,1970-02-13 0:00,Notre Dame,USA,6-0,170,3,Guard,Inactive,1994,1996
712,1973-08-01 0:00,Arizona State,USA,6-9,235,5,Center-Forward,Inactive,1995,2002
76148,1969-06-01 0:00,Wisconsin-Green Bay,USA,6-0,175,3,Guard,Inactive,1992,1994
76152,1965-02-09 0:00,Kentucky,USA,6-7,210,3,Guard,Inactive,1989,1991
128,1968-05-09 0:00,Alabama,USA,6-8,220,7,Forward,Inactive,1991,2000
202728,1988-08-13 0:00,Oakland,USA,6-11,230,2,Forward-Center,Inactive,2011,2011
76154,1954-12-27 0:00,Indiana,USA,6-11,235,11,Center,Inactive,1977,1987
1627791,1995-03-29 0:00,Providence,Ghana,6-9,235,1,Forward,Inactive,2016,2016
76155,1926-11-22 0:00,Marquette,USA,5-11,175,1,Guard,Inactive,1949,1949
76156,1932-07-16 0:00,Utah,USA,6-8,210,1,Center,Inactive,1956,1956
1631262,2000-01-21 0:00,UCLA,USA,NULL,NULL,0,NULL,Inactive,NULL,NULL
76157,1964-10-06 0:00,San Jose State,USA,6-8,205,1,Forward,Inactive,1988,1988
76158,1964-05-14 0:00,St. John's (NY),USA,6-8,215,3,Forward,Inactive,1986,1988
1629541,1989-09-09 0:00,Olimpia Milano,Latvia,6-4,200,2,Guard,Inactive,2018,2018
202722,1992-11-12 0:00,Baskonia,Latvia,6-10,225,7,Forward,Active,2016,2023
696,1972-07-12 0:00,Georgia Tech,USA,5-11,182,11,Guard,Inactive,1995,2004
201976,1988-07-12 0:00,Arkansas,USA,6-2,180,11,Guard,Active,2012,2023
1630180,1999-04-09 0:00,Villanova,USA,6-7,215,3,Forward,Active,2020,2023
1630189,1998-02-10 0:00,Colorado,USA,6-7,215,2,Forward,Inactive,2020,2020
204021,1992-12-02 0:00,New Mexico State,Canada,7-5,360,1,Center,Inactive,2014,2014
76162,1949-11-24 0:00,UCLA,USA,6-1,185,9,Guard,Inactive,1972,1980
1710,1978-05-13 0:00,Arizona,USA,6-2,195,15,Guard,Inactive,1998,2011
76163,1945-08-12 0:00,North Carolina State,USA,6-1,175,1,Guard,Inactive,1968,1968
2740,1986-04-02 0:00,BK Skonto,Latvia,7-0,250,10,Center,Inactive,2004,2013
76164,1933-01-01 0:00,Valparaiso,USA,6-7,240,1,Center,Inactive,1955,1955
76165,1953-12-26 0:00,Pennsylvania,USA,6-7,215,4,Forward,Inactive,1975,1978
1497,1976-09-25 0:00,Colorado,USA,6-3,210,17,Guard,Inactive,1997,2013
1631234,2000-07-14 0:00,Michigan State,USA,NULL,NULL,0,NULL,Inactive,NULL,NULL
76167,1961-03-26 0:00,North Carolina A&T,USA,6-8,235,1,Forward,Inactive,1986,1986
203920,1992-09-28 0:00,UNLV,Canada,6-8,233,6,Center,Active,2017,2023
1628444,1994-07-03 0:00,California,USA,6-6,198,2,Guard,Inactive,2017,2017
76168,1935-02-02 0:00,Kentucky,USA,6-6,210,1,Forward,Inactive,1958,1958
1449,1956-12-07 0:00,Indiana State,USA,6-9,220,13,Forward,Inactive,1979,1991
